2026-03-25 10:15:37.805 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-25 10:15:37.835 INFO  [main] c.e.e.EmployeeManagementSystemApplication - Starting EmployeeManagementSystemApplication using Java 21.0.10 with PID 15349 (/home/user/Programming/java/EmployeeManagementSystem/target/classes started by user in /home/user/Programming/java/EmployeeManagementSystem)
2026-03-25 10:15:37.836 DEBUG [main] c.e.e.EmployeeManagementSystemApplication - Running with Spring Boot v3.2.4, Spring v6.1.5
2026-03-25 10:15:37.837 INFO  [main] c.e.e.EmployeeManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-25 10:15:38.419 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-25 10:15:38.472 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 5 JPA repository interfaces.
2026-03-25 10:15:38.946 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-03-25 10:15:38.954 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-03-25 10:15:38.955 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-25 10:15:38.956 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-25 10:15:38.999 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-25 10:15:38.999 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1128 ms
2026-03-25 10:15:39.142 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-25 10:15:39.169 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-25 10:15:39.187 INFO  [main] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-25 10:15:39.299 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-25 10:15:39.315 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-25 10:15:39.422 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@627acb38
